attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
majorLandForm,LD,L,LD,depression,first level of landform is level land (L) and the second level is depression (LD),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SM,S,SM,medium-gradient mountain,first level of landform is sloping land (S) and the second level is medium-gradient mountain (SM),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,T,,T,steep land,first level of landform is steep land (T),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TH,T,TH,high-gradient hill,first level of landform is steep land (T) and the second level is high gradient hill (TH),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TE,T,TE,high-gradient escarpment zone,first level of landform is steep land (T) and the second level is high-gradient escarpment zone (TE),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,LV,L,LV,valley floor,first level of landform is level land (L) and the second level is valley floor (LV),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,L,,L,level land,first level of landform is level land (L),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SH,S,SH,medium-gradient hill,first level of landform is sloping land (S) and the second level is medium gradient hill (SH),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SE,S,SE,medium-gradient escarpment zone,first level of landform is sloping land (S) and the second level is medium-gradient escarpment zone (SE),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,LL,L,LL,plateau,first level of landform is level land (L) and the second level is plateau (LL),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,TM,T,TM,high-gradient mountain,first level of landform is steep land (T) and the second level is high-gradient mountain (TM),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,S,,S,sloping land,first level of landform is sloping land (S),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SP,S,SP,dissected plain,first level of landform is sloping land (S) and the second level is dissected plain (SP),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
majorLandForm,SV,S,SV,medium-gradient valley,first level of landform is sloping land (S) and the second level is medium gradient valley (SV),,,False,Hierarchy of major landforms. See more in Guidelines for Soil Description issued by the FAO: table 4,,,
profileDescriptionStatus,4.1,4,4.1,Soil augering description - no sampling,If soil description is done without sampling.,,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,3.1,3,3.1,Incomplete description - no sampling,If soil description is done without sampling.,,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,2,,2,Routine profile description,"No essential elements are missing from the description, sampling or analysis. The number of samples collected is sufficient to characterize all major soil horizons, but may not allow precise definition of all subhorizons, especially in the deeper soil. The profile depth is 80 cm or more, or down to a C or R horizon or layer, which may be shallower. Additional augering and sampling may be required for lower level classification.",,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,3,,3,Incomplete description,"Certain relevant elements are missing from the description, an insufficient number of samples was collected, or the reliability of the analytical data does not permit a complete characterization of the soil. However, the description is useful for specific purposes and provides a satisfactory indication of the nature of the soil at high levels of soil taxonomic classification.",,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,5,,5,Other descriptions,"Essential elements are missing from the description, preventing a satisfactory soil characterization and classification.",,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,2.1,2,2.1,Routine profile description - no sampling,If soil description is done without sampling.,,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,1,,1,Reference profile description,"No essential elements or details are missing from the description, sampling or analysis. The accuracy and reliability of the description and analytical results permit the full characterization of all soil horizons to a depth of 125 cm, or more if required for classification, or down to a C or R horizon or layer, which may be shallower.",,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,1.1,1,1.1,Reference profile description - no sampling,If soil description is done without sampling.,,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,4,,4,Soil augering description,"Soil augerings do no permit a comprehensive soil profile description. Augerings are made for routine soil observation and identification in soil mapping, and for that purpose normally provide a satisfactory indication of the soil characteristics. Soil samples may be collected from augerings.",,,False,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
coatingAbundance,A,,A,Abundant,40–80% of coating abundance,,,False,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,M,,M,Many,15–40% of coating abundance,,,False,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,D,,D,Dominant,> 80% of coating abundance,,,False,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,F,,F,Few,2–5% of coating abundance,,,False,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
