collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
profileDescriptionStatus,2.1,2,2.1,Routine profile description - no sampling,If soil description is done without sampling.,,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,1,,1,Reference profile description,"No essential elements or details are missing from the description, sampling or analysis. The accuracy and reliability of the description and analytical results permit the full characterization of all soil horizons to a depth of 125 cm, or more if required for classification, or down to a C or R horizon or layer, which may be shallower.",,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,1.1,1,1.1,Reference profile description - no sampling,If soil description is done without sampling.,,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
profileDescriptionStatus,4,,4,Soil augering description,"Soil augerings do no permit a comprehensive soil profile description. Augerings are made for routine soil observation and identification in soil mapping, and for that purpose normally provide a satisfactory indication of the soil characteristics. Soil samples may be collected from augerings.",,,Soil profile description status. See more in Guidelines for Soil Description issued by the FAO: table 1,,,
coatingAbundance,A,,A,Abundant,40–80% of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,M,,M,Many,15–40% of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,D,,D,Dominant,> 80% of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,F,,F,Few,2–5% of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,V,,V,Very few,0–2 % of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,C,,C,Common,5–15% of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
coatingAbundance,N,,N,,0% of coating abundance,,,Classification of abundance of coatings. See more in Guidelines for Soil Description issued by the FAO: table 64,,,
carbonatesContent,MO,,MO,Moderately calcareous,Visible effervescence: ≈ 2–10,,,Classes for the reaction of carbonates in the soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 38,,,
carbonatesContent,N,,N,Non-calcareous,No detectable visible or audible effervescence.,,,Classes for the reaction of carbonates in the soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 38,,,
carbonatesContent,ST,,ST,Strongly calcareous,Strong visible effervescence. Bubbles form a low foam: ≈ 10–25,,,Classes for the reaction of carbonates in the soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 38,,,
carbonatesContent,EX,,EX,Extremely calcareous,Extremely strong reaction forming thick foam forms quickly: ≈ > 25,,,Classes for the reaction of carbonates in the soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 38,,,
carbonatesContent,SL,,SL,Slightly calcareous,Audible effervescence but not visible: ≈ 0–2,,,Classes for the reaction of carbonates in the soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 38,,,
cementationContinuity,C,,C,Continuous,"The layer is more than 90 percent cemented or compacted, and is only interrupted in places by cracks or fissures.",,,"The occurrence of cementation or compaction in pans or otherwise is described according to its nature, continuity, structure, agent and degree. See more in the guidelines for Soil Description issued by the FAO: table 69",,,
cementationContinuity,B,,B,Broken,"The layer is less than 50 percent cemented or compacted, and shows a rather irregular appearance.",,,"The occurrence of cementation or compaction in pans or otherwise is described according to its nature, continuity, structure, agent and degree. See more in the guidelines for Soil Description issued by the FAO: table 69",,,
cementationContinuity,D,,D,Discontinuous,"The layer is 50–90 percent cemented or compacted, and in general shows a regular appearance.",,,"The occurrence of cementation or compaction in pans or otherwise is described according to its nature, continuity, structure, agent and degree. See more in the guidelines for Soil Description issued by the FAO: table 69",,,
porosityClass,1,,1,Very low,Very low porosity of les than 2%,,,The porosity is an indication of the total volume of voids discernible with a ×10 hand-lens measured by area and recorded as the percentage of the surface occupied by pores. See more in guidelines for Soil Description issued by the FAO: table 60,,,
porosityClass,3,,3,Medium,Medium porosity of 5–15%,,,The porosity is an indication of the total volume of voids discernible with a ×10 hand-lens measured by area and recorded as the percentage of the surface occupied by pores. See more in guidelines for Soil Description issued by the FAO: table 60,,,
porosityClass,4,,4,High,High porosity of 15–40%,,,The porosity is an indication of the total volume of voids discernible with a ×10 hand-lens measured by area and recorded as the percentage of the surface occupied by pores. See more in guidelines for Soil Description issued by the FAO: table 60,,,
porosityClass,2,,2,Low,Low porosity of 2–5%,,,The porosity is an indication of the total volume of voids discernible with a ×10 hand-lens measured by area and recorded as the percentage of the surface occupied by pores. See more in guidelines for Soil Description issued by the FAO: table 60,,,
porosityClass,5,,5,Very high,Very high porosity of more than 40%,,,The porosity is an indication of the total volume of voids discernible with a ×10 hand-lens measured by area and recorded as the percentage of the surface occupied by pores. See more in guidelines for Soil Description issued by the FAO: table 60,,,
bleachedSand,4,,Dominant,Bleached sand of surface coverage more than 80%,Bleached sand of surface coverage more than 80%,,,Classification of bleached sand characteristics based on the percentage of surface covered. See more in Guidelines for Soil Description issued by the FAO: table 23,,,
